"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AXL",5.3654256773953e-250,1.81577952787185,0.816,0.514,9.70337233756939e-246,"3","AXL"
"OSMR",6.60736587061429e-250,1.74764798940098,0.837,0.528,1.19494211770059e-245,"3","OSMR"
"EDIL3",2.90342546044633e-249,1.91916894264786,0.799,0.495,5.25084494521718e-245,"3","EDIL3"
"ARL4C",7.42056471081544e-249,1.3466997735957,0.924,0.861,1.34200912795097e-244,"3","ARL4C"
"HAPLN3",3.44073934217338e-247,1.76371072724988,0.837,0.529,6.22257710032055e-243,"3","HAPLN3"
"DERL3",4.67592704282881e-247,2.37630050449185,0.797,0.575,8.45641405695591e-243,"3","DERL3"
"ST6GALNAC5",1.732515644082e-246,2.56229781511507,0.652,0.269,3.1332545423223e-242,"3","ST6GALNAC5"
"GPC6",2.02333478469085e-246,2.31469238184251,0.727,0.384,3.6592009581134e-242,"3","GPC6"
"PHLDB1",4.4609688752495e-246,1.57548293912473,0.868,0.59,8.06766221088872e-242,"3","PHLDB1"
"IGLC1",5.171265735175e-245,3.02366409181956,0.777,0.443,9.35223408206399e-241,"3","IGLC1"
"IGHD",1.75846722976269e-244,2.91017105535096,0.633,0.253,3.18018798502583e-240,"3","IGHD"
"ISM1",1.45306582549161e-243,2.94965865196776,0.549,0.177,2.62786954540158e-239,"3","ISM1"
"CD38",1.69533998084109e-243,2.01676971938702,0.787,0.485,3.06602235535112e-239,"3","CD38"
"FNBP1",1.78692029833217e-242,1.48100348212706,0.869,0.601,3.23164535953372e-238,"3","FNBP1"
"CD14",1.16470823931546e-241,1.15894276207253,0.931,0.858,2.10637485080202e-237,"3","CD14"
"ANXA1",2.44532801361956e-240,1.18662546577247,0.932,0.872,4.42237571263097e-236,"3","ANXA1"
"ISG20",2.7453386523516e-240,1.92925123364274,0.803,0.541,4.96494495277787e-236,"3","ISG20"
"CREB3L2",8.84275156385169e-240,1.61075295165717,0.845,0.681,1.59921162032258e-235,"3","CREB3L2"
"IRF4",1.81224748590035e-238,2.29975146500073,0.617,0.228,3.27744957825078e-234,"3","IRF4"
"GNB4",4.19337716666927e-238,1.45527647828452,0.889,0.742,7.58372260592137e-234,"3","GNB4"
"PTTG1IP",6.2148599098138e-238,0.987721353354882,0.96,0.95,1.12395741468983e-233,"3","PTTG1IP"
"MEIS1",1.03434451777677e-237,1.65515377769573,0.792,0.42,1.87061206039929e-233,"3","MEIS1"
"MARCKS",3.87943278448587e-236,0.842222216126193,0.973,0.964,7.0159541907427e-232,"3","MARCKS"
"GASK1B",7.00805003083296e-236,1.81184994684044,0.815,0.561,1.26740584807614e-231,"3","GASK1B"
"PTP4A3",3.64430947553327e-235,1.54609605136627,0.847,0.616,6.59073368650192e-231,"3","PTP4A3"
"PLN",1.34882273974069e-234,1.67227114189222,0.776,0.413,2.43934592482104e-230,"3","PLN"
"APOL6",2.17986102736947e-232,1.11544160824865,0.918,0.919,3.94227866799768e-228,"3","APOL6"
"B2M",5.65770920287174e-232,0.934558645052177,0.995,0.995,1.02319670933935e-227,"3","B2M"
"SFMBT2",8.82232023196575e-232,1.79974286930074,0.813,0.538,1.59551661395101e-227,"3","SFMBT2"
"SPECC1",1.83302676575473e-231,1.90381292944723,0.779,0.444,3.31502890586743e-227,"3","SPECC1"
"SLC6A6",2.83195293477558e-231,1.54503398119191,0.883,0.807,5.12158688254164e-227,"3","SLC6A6"
"ADAM19",4.32030724744835e-231,1.77245532132899,0.798,0.471,7.81327565701033e-227,"3","ADAM19"
"MSN",4.35263608131426e-231,1.32205679275718,0.897,0.78,7.87174235305683e-227,"3","MSN"
"ANKH",5.33946345023915e-231,1.29631381123942,0.93,0.887,9.65641964975751e-227,"3","ANKH"
"CORO1A",7.88224882491711e-231,1.59851789499971,0.865,0.667,1.42550469998626e-226,"3","CORO1A"
"OLFML2B",1.9669338966206e-230,1.72914978553882,0.837,0.627,3.55719995203835e-226,"3","OLFML2B"
"HEG1",3.2827868419609e-230,1.97828045622114,0.782,0.496,5.93692000368628e-226,"3","HEG1"
"CD79A",9.81399468326084e-230,2.29034736293908,0.638,0.262,1.77486093846772e-225,"3","CD79A"
"FGFR1",3.56710337198919e-228,1.84181691250084,0.792,0.493,6.45110644824246e-224,"3","FGFR1"
"POU2AF1",3.86405350547893e-228,2.2229021268002,0.717,0.396,6.98814076465864e-224,"3","POU2AF1"
"BTG2",8.84345684061745e-228,1.29907724468421,0.926,0.914,1.59933916962567e-223,"3","BTG2"
"PMP22",9.71515606792248e-226,1.32542232433859,0.888,0.871,1.75698597488378e-221,"3","PMP22"
"PARVA",1.03691186495953e-225,1.08998829700018,0.94,0.905,1.87525510777931e-221,"3","PARVA"
"GLI3",9.69113057096843e-225,1.93607356841403,0.788,0.512,1.75264096375964e-220,"3","GLI3"
"ODF3B",3.40540219355491e-224,1.74832151427563,0.807,0.53,6.15866986704406e-220,"3","ODF3B"
"PTPRD",4.89712276644003e-223,2.79540060009124,0.558,0.202,8.8564465231068e-219,"3","PTPRD"
"BEX3",6.01857526033975e-223,1.59177733102008,0.85,0.589,1.08845933583244e-218,"3","BEX3"
"COL15A1",2.6358445747324e-222,1.43924669607384,0.888,0.678,4.76692491340355e-218,"3","COL15A1"
"EHBP1L1",1.07549077003267e-221,0.948542135571441,0.964,0.937,1.94502505760408e-217,"3","EHBP1L1"
"IKZF1",2.73944462812145e-220,1.59797326437634,0.835,0.633,4.95428560995764e-216,"3","IKZF1"
"PLEKHO1",1.02254982528226e-219,1.2275386832326,0.915,0.79,1.84928135902297e-215,"3","PLEKHO1"
"GLS",1.23128696132037e-219,1.07425215962472,0.931,0.896,2.22678246954789e-215,"3","GLS"
"OPTN",1.99706270442267e-219,1.21362704816353,0.902,0.856,3.61168790094839e-215,"3","OPTN"
"MSRB3",2.47198898264255e-219,1.72917448290079,0.751,0.408,4.47059207510905e-215,"3","MSRB3"
"IGFBP5",2.75550834740862e-219,1.39328082599619,0.889,0.659,4.98333684628849e-215,"3","IGFBP5"
"TNFAIP6",2.89906731258081e-219,2.51875319962381,0.664,0.333,5.24296323480239e-215,"3","TNFAIP6"
"PDGFRL",2.90838633916689e-219,2.61840056613274,0.629,0.292,5.25981669438332e-215,"3","PDGFRL"
"IGFBP3",8.53490058360364e-219,1.4126697804811,0.936,0.767,1.54353677054472e-214,"3","IGFBP3"
"TRAC",1.22958622467032e-218,1.63748382846177,0.83,0.603,2.22370668731628e-214,"3","TRAC"
"MYH9",3.31142083451873e-217,0.709926736752126,0.988,0.97,5.98870457922713e-213,"3","MYH9"
"FRMD6",1.09951297363887e-216,1.91732240179734,0.789,0.573,1.98846921282589e-212,"3","FRMD6"
"KLF2",1.34924540349777e-216,1.5843565765191,0.855,0.718,2.44011031222571e-212,"3","KLF2"
"SGK1",5.49531491995014e-216,1.50378667171001,0.921,0.871,9.93827703272984e-212,"3","SGK1"
"STOM",4.61971669648535e-215,0.962611273254907,0.955,0.825,8.35475764559375e-211,"3","STOM"
"MS4A6A",3.249689198357e-214,1.61285680582074,0.835,0.659,5.87706291522864e-210,"3","MS4A6A"
"ARHGDIB",3.93532370618409e-214,1.10742208320349,0.925,0.873,7.11703292263394e-210,"3","ARHGDIB"
"LAMB2",2.38147630372281e-213,1.11983391211349,0.919,0.897,4.30689989528271e-209,"3","LAMB2"
"GBP1",3.81844533202849e-213,1.39573479010985,0.887,0.702,6.90565838297352e-209,"3","GBP1"
"PLPP4",7.02849323820197e-213,2.64580979556269,0.557,0.206,1.27110300212883e-208,"3","PLPP4"
"RABAC1",3.43971443499204e-212,1.10123925277749,0.892,0.897,6.22072355568311e-208,"3","RABAC1"
"CTSZ",1.1992437724853e-211,0.747804685023191,0.975,0.974,2.16883236253967e-207,"3","CTSZ"
"CILP2",4.20097557484491e-211,3.46210548376249,0.445,0.126,7.59746432710702e-207,"3","CILP2"
"CEBPD",9.2188941846535e-211,1.13877310168538,0.956,0.93,1.66723701329458e-206,"3","CEBPD"
"CYBRD1",1.05909393955888e-210,1.79155778183957,0.792,0.575,1.91537138969224e-206,"3","CYBRD1"
"GALNT10",1.08805212308947e-210,1.25500993530916,0.915,0.866,1.96774226460731e-206,"3","GALNT10"
"SOCS3",1.25809696586506e-210,1.44948476804926,0.863,0.702,2.27526836276696e-206,"3","SOCS3"
"SSR4",6.50384971203919e-210,1.47178324494818,0.901,0.916,1.17622122042229e-205,"3","SSR4"
"TENT5C",1.5357758753319e-209,2.12045828425291,0.763,0.557,2.77745067053774e-205,"3","TENT5C"
"CRIM1",4.28622014580761e-209,1.08263922800944,0.925,0.883,7.75162913369307e-205,"3","CRIM1"
"FERMT2",5.02092273041565e-209,1.73707411412618,0.783,0.49,9.0803387579567e-205,"3","FERMT2"
"CIITA",1.69694833505754e-208,1.75205260299171,0.827,0.562,3.06893106395156e-204,"3","CIITA"
"RASSF2",8.08168146278736e-208,1.66945213086157,0.773,0.465,1.46157209254509e-203,"3","RASSF2"
"STON1",1.93776331259976e-207,1.87983979991927,0.744,0.432,3.50444495083667e-203,"3","STON1"
"TGFB1I1",7.0033332198351e-207,1.73392419845762,0.782,0.516,1.26655281280718e-202,"3","TGFB1I1"
"TSPAN4",4.43804331021373e-206,1.62244428012571,0.821,0.67,8.02620132652153e-202,"3","TSPAN4"
"THEMIS2",2.10323707155038e-205,1.55469717430389,0.816,0.57,3.80370424389886e-201,"3","THEMIS2"
"RGS1",3.16535808034064e-205,1.13558688023519,0.931,0.851,5.72455008829604e-201,"3","RGS1"
"LAMC1",3.94112943750677e-205,1.12450464947456,0.903,0.88,7.12753258773099e-201,"3","LAMC1"
"LMOD1",7.07006088347384e-205,1.04618677178157,0.723,0.355,1.27862051077624e-200,"3","LMOD1"
"FST",1.27908152255473e-204,2.6746897103112,0.532,0.189,2.31321893354023e-200,"3","FST"
"FBLN5",2.10991340032429e-204,1.44179162917417,0.706,0.358,3.81577838448648e-200,"3","FBLN5"
"CYTIP",3.46209577553983e-203,1.57262671939717,0.787,0.544,6.26120021006379e-199,"3","CYTIP"
"RASGRF2",3.63547515612628e-203,2.39054400581047,0.664,0.344,6.57475681985438e-199,"3","RASGRF2"
"A2M",1.93091975556442e-202,0.753125797412526,0.986,0.918,3.49206837793826e-198,"3","A2M"
"JCAD",7.10245177634637e-201,1.86647002335116,0.756,0.478,1.28447840375224e-196,"3","JCAD"
"CAV1",7.34335103921029e-201,1.25963099795103,0.831,0.594,1.32804503544118e-196,"3","CAV1"
"BTBD19",2.89845541218375e-200,2.22948793610049,0.629,0.275,5.24185661293431e-196,"3","BTBD19"
"SPSB1",6.12592290124745e-200,1.50565720065719,0.812,0.623,1.1078731566906e-195,"3","SPSB1"
"ARHGAP1",1.1309485242095e-199,0.979894752456893,0.921,0.907,2.04532040603287e-195,"3","ARHGAP1"
"BICC1",1.35738285360717e-199,2.10302117727192,0.683,0.361,2.45482689074856e-195,"3","BICC1"
"FMNL1",2.6931410148742e-199,1.46896647257355,0.84,0.637,4.8705455254e-195,"3","FMNL1"
"VEGFC",3.54450849454179e-199,1.69869843614651,0.768,0.477,6.41024361237882e-195,"3","VEGFC"
"TMEM47",6.12164020381854e-199,2.02648559746188,0.669,0.331,1.10709863086058e-194,"3","TMEM47"
"SEC31A",6.17290806063765e-199,0.691563262347846,0.957,0.952,1.11637042276632e-194,"3","SEC31A"
"SLIT3",2.50923423106981e-198,2.34582477911079,0.549,0.209,4.53795010688975e-194,"3","SLIT3"
"PTPRS",4.21702472936785e-198,1.83950351466589,0.733,0.411,7.62648922306175e-194,"3","PTPRS"
"ARHGEF25",8.29826899576153e-198,1.80246427601109,0.675,0.317,1.50074194788347e-193,"3","ARHGEF25"
"SUGCT",8.85992452432285e-198,2.48384049214891,0.615,0.284,1.60231735022379e-193,"3","SUGCT"
"ETS1",2.02711757564084e-196,1.27530251700293,0.887,0.789,3.66604213554647e-192,"3","ETS1"
"NRP1",1.55319830926166e-195,1.08001608144469,0.923,0.857,2.80895914229971e-191,"3","NRP1"
"CAVIN3",3.69914153667569e-195,1.60419911721067,0.796,0.53,6.68989746907799e-191,"3","CAVIN3"
"SSC5D",1.39824321508064e-194,1.98229986448079,0.682,0.35,2.52872285447333e-190,"3","SSC5D"
"RARRES2",8.07054481268239e-194,2.34853295862778,0.645,0.316,1.45955802937361e-189,"3","RARRES2"
"PCDH7",1.08527915714881e-193,1.90460771656413,0.714,0.42,1.96272735570362e-189,"3","PCDH7"
"THBS4",1.60924602368801e-193,1.86718863231373,0.675,0.337,2.91032143383976e-189,"3","THBS4"
"HCLS1",1.65638178829814e-192,1.35611744276987,0.848,0.687,2.99556646413719e-188,"3","HCLS1"
"PODNL1",1.68868348410818e-192,2.5650430261893,0.582,0.26,3.05398408100964e-188,"3","PODNL1"
"TMEM119",1.18382485377872e-191,2.02159347121761,0.666,0.351,2.14094724805882e-187,"3","TMEM119"
"SLFN11",9.95036525829917e-191,1.5368628385671,0.789,0.557,1.7995235569634e-186,"3","SLFN11"
"SUSD6",3.35352357954175e-190,1.31068107317016,0.855,0.777,6.06484739360126e-186,"3","SUSD6"
"RHOC",5.7196432685756e-190,0.963429503688336,0.931,0.925,1.0343974851219e-185,"3","RHOC"
"FBXW7",6.26835252308858e-190,1.05814491527827,0.915,0.929,1.13363155380057e-185,"3","FBXW7"
"CDH2",1.92397970115587e-188,2.51585439007858,0.544,0.212,3.4795172895404e-184,"3","CDH2"
"DAB2",9.27289336382029e-188,1.37297378428752,0.844,0.713,1.6770027648469e-183,"3","DAB2"
"NR3C1",1.09655187106761e-187,1.43165842090824,0.817,0.603,1.98311405882578e-183,"3","NR3C1"
"TNFRSF12A",4.35152926203163e-187,1.72276753539907,0.807,0.62,7.8697406703842e-183,"3","TNFRSF12A"
"PALM2-AKAP2",1.09931411823102e-186,1.18723567205461,0.862,0.696,1.9881095828208e-182,"3","PALM2-AKAP2"
"MYL6",1.10345743262484e-186,0.686783755788898,0.99,0.979,1.99560276690203e-182,"3","MYL6"
"MMP1",2.03424137688864e-186,2.19928848498203,0.708,0.429,3.6789255301031e-182,"3","MMP1"
"STAT1",6.39280856507462e-186,1.01393026003692,0.915,0.911,1.15613942899375e-181,"3","STAT1"
"PLTP",9.41715625397745e-186,1.23097434382286,0.866,0.701,1.70309270853182e-181,"3","PLTP"
"CTIF",1.60802549060972e-185,1.52309158667418,0.85,0.765,2.90811409976769e-181,"3","CTIF"
"TMED9",1.62528525255405e-185,0.763430435369819,0.963,0.946,2.93932837924401e-181,"3","TMED9"
"CCN4",5.62880317194633e-185,2.26309246926568,0.598,0.276,1.01796905364649e-180,"3","CCN4"
"RUNX2",1.3248771460958e-184,2.05476593627078,0.722,0.48,2.39604031871425e-180,"3","RUNX2"
"C1QTNF3",6.41836591137512e-184,2.7284096088716,0.618,0.336,1.16076147507219e-179,"3","C1QTNF3"
"IGF1",7.18464897132504e-184,2.32609343914689,0.463,0.141,1.29934376646413e-179,"3","IGF1"
"CYBA",1.07765097545049e-183,0.889701864143142,0.936,0.945,1.94893178910221e-179,"3","CYBA"
"BMP1",1.47960788773743e-183,1.58738947655653,0.816,0.712,2.67587086497314e-179,"3","BMP1"
"NID2",1.360158548051e-182,1.61595972642806,0.785,0.597,2.45984673415023e-178,"3","NID2"
"SRGN",6.27314899218961e-182,0.520004738515645,0.978,0.962,1.13449899523749e-177,"3","SRGN"
"KIRREL1",1.24928305836409e-181,1.73526518390653,0.729,0.437,2.25932841105146e-177,"3","KIRREL1"
"FAM126A",1.97052499099964e-181,1.6900248204013,0.754,0.512,3.56369444622285e-177,"3","FAM126A"
"CRELD2",5.48440281219451e-181,1.21107989973374,0.864,0.836,9.91854248585376e-177,"3","CRELD2"
"PLXND1",1.1824486743896e-180,1.15078692909722,0.913,0.837,2.13845842763359e-176,"3","PLXND1"
"EVC",2.23232611384476e-180,1.89381948763405,0.694,0.392,4.03716177688825e-176,"3","EVC"
"VEGFB",2.25103728858314e-180,1.04869067954891,0.887,0.894,4.07100093640261e-176,"3","VEGFB"
"PRELP",2.91991967863951e-179,1.99981093814328,0.644,0.322,5.28067473881956e-175,"3","PRELP"
"ST5",4.78947432878015e-179,1.14615740886925,0.881,0.847,8.66176432359891e-175,"3","ST5"
"TMEM263",2.14398422107819e-178,0.86945578171649,0.921,0.915,3.87739546381991e-174,"3","TMEM263"
"MATN3",7.49304388189508e-177,2.58154959354263,0.575,0.269,1.35511698604073e-172,"3","MATN3"
"ACTN1",8.30505793552537e-177,0.714374774853039,0.976,0.963,1.50196972763976e-172,"3","ACTN1"
"COX7A1",1.49593531404392e-176,1.69499052323191,0.715,0.43,2.70539901544843e-172,"3","COX7A1"
"ID3",5.92965758366301e-176,1.11236049079084,0.973,0.929,1.07237857400546e-171,"3","ID3"
"ZEB2",1.12759568099876e-175,1.0948525510625,0.894,0.772,2.03925678908626e-171,"3","ZEB2"
"TCEAL9",1.49032616331782e-175,1.5974927692787,0.769,0.518,2.69525486636028e-171,"3","TCEAL9"
"COL18A1",2.51686651781152e-175,1.04413646311298,0.926,0.767,4.55175309746214e-171,"3","COL18A1"
"GLIS2",2.59619479255812e-175,2.08389797714809,0.646,0.353,4.69521828234135e-171,"3","GLIS2"
"PYGL",8.30099251904849e-175,1.69295342920123,0.735,0.46,1.50123449706992e-170,"3","PYGL"
"MAP7D1",9.9298378345306e-175,1.18973150820833,0.864,0.847,1.79581117237486e-170,"3","MAP7D1"
"NLRP1",2.88400657290217e-174,1.85985982580646,0.675,0.366,5.21572588709357e-170,"3","NLRP1"
"FAM107B1",2.71806974623194e-173,1.22160297006489,0.854,0.76,4.91562913606046e-169,"3","FAM107B"
"AKT3",3.2542111812691e-173,1.20236558972425,0.849,0.719,5.88524092132516e-169,"3","AKT3"
"RASSF4",5.13129384220839e-173,1.67772393446989,0.758,0.493,9.27994491363387e-169,"3","RASSF4"
"HSPA1A",6.80751485340372e-173,1.53574079404837,0.784,0.53,1.23113906123806e-168,"3","HSPA1A"
"SVEP1",7.0307300671993e-173,2.1846502518706,0.53,0.211,1.27150753265299e-168,"3","SVEP1"
"ALOX5",9.42287333532736e-173,1.12312138208916,0.866,0.673,1.70412664269395e-168,"3","ALOX5"
"TNFAIP3",8.13993924145793e-172,1.48675088396872,0.854,0.799,1.47210801181767e-167,"3","TNFAIP3"
"SH3PXD2A",1.89785177307227e-171,1.0131533097538,0.94,0.907,3.4322649316012e-167,"3","SH3PXD2A"
"MAPKAPK2",2.71522236319023e-171,0.800433047469378,0.926,0.939,4.91047964382953e-167,"3","MAPKAPK2"
"XAF1",9.38257472878642e-171,1.66199958093973,0.754,0.514,1.69683863970102e-166,"3","XAF1"
"TP53INP1",9.80331364884362e-171,1.68414995465862,0.778,0.651,1.77292927339337e-166,"3","TP53INP1"
"LAX1",1.07890694395748e-170,2.13739028931674,0.606,0.303,1.95120320814711e-166,"3","LAX1"
"PLOD2",1.36220588566943e-170,1.14004952921193,0.886,0.877,2.46354934423317e-166,"3","PLOD2"
"STK17B",1.57139366696275e-170,1.03118097080614,0.859,0.882,2.84186544670214e-166,"3","STK17B"
"MFAP4",3.46948075104341e-170,1.12531258798983,0.632,0.287,6.27455593826201e-166,"3","MFAP4"
"IER2",3.55656313007771e-170,1.02403996373668,0.963,0.945,6.43204442074555e-166,"3","IER2"
"DCLK2",9.14179101154492e-170,1.63837242486415,0.843,0.74,1.6532929044379e-165,"3","DCLK2"
"CYTH4",1.00008680096479e-169,1.37954481619633,0.804,0.594,1.80865697954482e-165,"3","CYTH4"
"SLCO2B1",4.49288510585389e-169,1.52003976774146,0.776,0.569,8.12538271393676e-165,"3","SLCO2B1"
"ADA2",5.41668024302948e-169,1.58034681067518,0.762,0.568,9.79606621951882e-165,"3","ADA2"
"CD200",1.94387687009075e-168,2.08070300488196,0.647,0.35,3.51550131955912e-164,"3","CD200"
"SERPINE2",3.30056574761605e-168,1.50125246915773,0.624,0.287,5.96907315456362e-164,"3","SERPINE2"
"TGFBR1",3.60666746025578e-168,1.06134964351495,0.901,0.899,6.52265810187258e-164,"3","TGFBR1"
"PRICKLE1",6.36856926088754e-168,2.04706852367778,0.632,0.335,1.15175575083151e-163,"3","PRICKLE1"
"C1QA1",1.58070339614663e-166,0.921943518619763,0.909,0.858,2.85870209193118e-162,"3","C1QA"
"KCNE4",2.60537755942127e-166,2.05453050622459,0.663,0.377,4.71182531621336e-162,"3","KCNE4"
"HMCN1",2.92360156181658e-166,1.97809318390816,0.646,0.351,5.28733342454528e-162,"3","HMCN1"
"SYTL2",5.24676925153908e-166,1.91370045066983,0.708,0.458,9.48878219140842e-162,"3","SYTL2"
"PLPP3",8.29677079923499e-166,1.10393576893868,0.87,0.853,1.50047099904165e-161,"3","PLPP3"
"SEC14L1",1.72850126068788e-165,0.939512166741344,0.884,0.897,3.12599452995404e-161,"3","SEC14L1"
"PLPP1",2.58026583878628e-165,1.35037041262426,0.798,0.609,4.66641076944498e-161,"3","PLPP1"
"PDLIM5",8.26411980904412e-165,1.37631807877208,0.858,0.816,1.49456606746563e-160,"3","PDLIM5"
"MAGEH1",7.70486303405802e-164,1.86317774892597,0.658,0.378,1.39342447970939e-159,"3","MAGEH1"
"SLC12A4",1.08517271147749e-163,1.45844399491144,0.804,0.697,1.96253484870704e-159,"3","SLC12A4"
"PDLIM3",2.125060938657e-163,1.47630904317236,0.704,0.414,3.84317270756119e-159,"3","PDLIM3"
"ITGA4",2.17757265774679e-163,1.68209219835151,0.729,0.486,3.93814015153507e-159,"3","ITGA4"
"NID1",7.9133038821112e-163,1.48695872209563,0.77,0.54,1.43112100707981e-158,"3","NID1"
"TRBC2",1.13175898641505e-162,1.58848424800756,0.749,0.525,2.04678612693163e-158,"3","TRBC2"
"SNAI2",2.06885230676246e-162,1.68578530230427,0.721,0.49,3.74151939677991e-158,"3","SNAI2"
"NXN",2.21258857493857e-162,2.12237013137141,0.587,0.283,4.0014664377764e-158,"3","NXN"
"CES1",5.13278149081553e-162,1.77355413294975,0.573,0.251,9.28263532613989e-158,"3","CES1"
"MEDAG",1.29069544645779e-161,2.03037999174159,0.553,0.246,2.3342227149189e-157,"3","MEDAG"
"ITGAV",1.33022827509629e-161,0.890035368556884,0.907,0.915,2.40571783551164e-157,"3","ITGAV"
"RECK",4.10007565497403e-161,2.11570152882016,0.594,0.296,7.41498682202054e-157,"3","RECK"
"CRYAB",1.03765189214612e-160,0.606026114715034,0.76,0.486,1.87659344694625e-156,"3","CRYAB"
"ZNF532",1.6019218120801e-160,1.43128274609484,0.783,0.56,2.89707559714687e-156,"3","ZNF532"
"FKBP11",1.94042572308558e-160,1.13102888820986,0.859,0.878,3.50925992020027e-156,"3","FKBP11"
"SEL1L",2.59558920733579e-160,0.923546187358546,0.893,0.923,4.69412308146678e-156,"3","SEL1L"
"XBP1",5.04273843176043e-160,0.913314034362378,0.983,0.976,9.11979245383875e-156,"3","XBP1"
"CXCR4",5.41349070255896e-160,0.569866312653591,0.939,0.895,9.79029793557788e-156,"3","CXCR4"
"GAS6",5.7813873111208e-160,1.2444451994209,0.869,0.798,1.0455638952162e-155,"3","GAS6"
"GNG11",1.40662368188559e-159,1.52279267253498,0.73,0.481,2.54387892869009e-155,"3","GNG11"
"C1QB1",1.77342801446099e-159,0.988703968367735,0.891,0.83,3.20724456415271e-155,"3","C1QB"
"TAP2",3.15425124411866e-159,1.17848197493068,0.842,0.803,5.70446337498859e-155,"3","TAP2"
"COTL1",4.80132788735799e-159,1.18987376217054,0.874,0.804,8.68320148428693e-155,"3","COTL1"
"DPYD",1.59355655456128e-158,1.14477358344508,0.866,0.748,2.88194702892407e-154,"3","DPYD"
"DRAM1",2.95951295476465e-158,1.28537447298979,0.82,0.742,5.35227917869187e-154,"3","DRAM1"
"ST6GALNAC6",6.96985746192809e-158,1.47766826935119,0.765,0.558,1.2604987219897e-153,"3","ST6GALNAC6"
"MS4A7",1.30347703415378e-157,1.47354633573369,0.786,0.621,2.35733821626711e-153,"3","MS4A7"
"VSIR",1.50208271873025e-156,1.48472093811878,0.75,0.538,2.71651659682365e-152,"3","VSIR"
"IL10RA",1.70073675824898e-156,1.65828345244262,0.707,0.443,3.07578242729329e-152,"3","IL10RA"
"GSN",1.94101294202849e-156,0.660742872442911,0.967,0.952,3.51032190565852e-152,"3","GSN"
"METRNL",4.42305016201582e-156,1.27537598538321,0.809,0.643,7.9990862180056e-152,"3","METRNL"
"PRICKLE2",3.21739949019088e-155,2.0841340027092,0.554,0.248,5.81866697801021e-151,"3","PRICKLE2"
"METTL7A",8.56286158063225e-155,1.64583706495406,0.688,0.437,1.54859351685734e-150,"3","METTL7A"
"FAM20C",1.05050975297927e-154,1.16681637272024,0.816,0.633,1.89984688826301e-150,"3","FAM20C"
"SYNC",1.42819106424662e-154,1.65197874491447,0.612,0.306,2.58288353969001e-150,"3","SYNC"
"NCF4",1.63161406670582e-154,1.61545785012831,0.653,0.367,2.95077403963747e-150,"3","NCF4"
"PRKG1",2.05725969232898e-154,1.08708003027513,0.832,0.685,3.72055415357697e-150,"3","PRKG1"
"P3H3",3.4127005077445e-154,1.97560710040897,0.648,0.392,6.17186886825593e-150,"3","P3H3"
"SCUBE2",3.72851462497965e-154,2.58049780761935,0.471,0.188,6.7430186992757e-150,"3","SCUBE2"
"BMPR2",1.25728296093715e-153,1.04955310698872,0.86,0.828,2.27379623485484e-149,"3","BMPR2"
"PLS3",1.31929851698696e-153,1.1898167472297,0.843,0.807,2.38595136797092e-149,"3","PLS3"
"DLC1",8.94837316961553e-153,1.56084822681631,0.768,0.601,1.61831328772497e-148,"3","DLC1"
"GYPC",2.86643024416553e-152,1.57817853772228,0.703,0.468,5.18393909657336e-148,"3","GYPC"
"ARHGEF17",4.11108642479066e-152,1.36125453408698,0.77,0.534,7.43489979923392e-148,"3","ARHGEF17"
"DOCK2",4.47334153376946e-152,1.42621561674024,0.747,0.523,8.09003816382206e-148,"3","DOCK2"
"TRBC1",1.90509543353066e-151,1.6452113355526,0.694,0.431,3.44536509154019e-147,"3","TRBC1"
"RTL8C",3.29492518027599e-151,1.61619294943801,0.716,0.463,5.95887218852913e-147,"3","RTL8C"
"GALNT15",7.28051407964921e-151,2.40780497957792,0.471,0.187,1.31668097130456e-146,"3","GALNT15"
"OAS2",1.30023540909901e-150,1.63246982383171,0.715,0.508,2.35147573735556e-146,"3","OAS2"
"CD27",2.43393258301987e-150,2.0966573742243,0.523,0.232,4.40176707639143e-146,"3","CD27"
"TXNDC15",2.58435297424918e-150,0.957280183525053,0.847,0.87,4.67380235392963e-146,"3","TXNDC15"
"CYB5R3",2.87182517453571e-150,0.884664462608186,0.892,0.903,5.19369582814784e-146,"3","CYB5R3"
"CD4",5.75499715810351e-150,1.11869300722213,0.845,0.75,1.04079123604302e-145,"3","CD4"
"TCF4",7.65587722816106e-150,1.60150281168244,0.701,0.464,1.38456539671293e-145,"3","TCF4"
"WIPI1",7.98570048464125e-150,1.62103438991175,0.712,0.527,1.44421393264737e-145,"3","WIPI1"
"TMEM176A",1.09839675577024e-149,1.13840451140598,0.852,0.794,1.98645053281049e-145,"3","TMEM176A"
"UNC5B",2.48931290061709e-149,1.60624248019498,0.728,0.502,4.50192238076601e-145,"3","UNC5B"
"ARHGAP15",4.30731249419493e-149,1.59498020325449,0.681,0.416,7.78977464575154e-145,"3","ARHGAP15"
"MMP111",6.04404091594942e-149,1.95668504514197,0.691,0.468,1.09306479964945e-144,"3","MMP11"
"NLRC5",6.72869962594515e-149,1.51663005013478,0.756,0.589,1.21688532735218e-144,"3","NLRC5"
"SAMD9L",1.14748943376779e-148,1.44396129442181,0.767,0.601,2.07523464096906e-144,"3","SAMD9L"
"C1QC1",1.15173142340455e-148,0.879919450778441,0.896,0.86,2.08290627922713e-144,"3","C1QC"
