"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BOLA33",4.72028547993739e-50,0.484262709558059,0.162,0.602,8.53663629046677e-46,"8","BOLA3"
"FBXL15",4.79395693734568e-50,0.456198067253044,0.224,0.734,8.66987112118966e-46,"8","FBXL15"
"HEXIM23",4.93924404424383e-50,0.592252381172206,0.165,0.609,8.93262285401496e-46,"8","HEXIM2"
"CSKMT2",5.25146176288227e-50,0.49744556650053,0.098,0.476,9.49726859817258e-46,"8","CSKMT"
"IQANK13",5.82133978118749e-50,0.495000652844066,0.093,0.465,1.05278929942776e-45,"8","IQANK1"
"PHLPP21",5.95396793134618e-50,0.261442490706965,0.088,0.454,1.07677510038396e-45,"8","PHLPP2"
"NPHP3",6.51747640383844e-50,0.311961899180115,0.246,0.769,1.17868560763418e-45,"8","NPHP3"
"CINP2",6.78474278412404e-50,0.398778081295059,0.242,0.768,1.22702073250883e-45,"8","CINP"
"TBX191",6.93371001358163e-50,0.334747684184605,0.084,0.447,1.25396145595624e-45,"8","TBX19"
"LRRC342",7.25018969778637e-50,0.417241535145085,0.064,0.408,1.31119680684466e-45,"8","LRRC34"
"ZNF2962",7.2815556740933e-50,0.607075282930569,0.116,0.512,1.31686934365977e-45,"8","ZNF296"
"PLPP6",7.59921230281898e-50,0.85854172770646,0.094,0.468,1.37431754496481e-45,"8","PLPP6"
"NAGPA",7.75143318987867e-50,0.53770678514869,0.195,0.672,1.40184669238956e-45,"8","NAGPA"
"KLHL92",7.83981588379226e-50,0.603833236892363,0.098,0.475,1.41783070258383e-45,"8","KLHL9"
"TMED11",8.22339205256738e-50,0.385860318287115,0.209,0.698,1.48720045270681e-45,"8","TMED1"
"SOWAHA3",1.00703217639157e-49,0.596990331668123,0.079,0.438,1.82121769100415e-45,"8","SOWAHA"
"ASTE1",1.15341711130402e-49,0.845696740739188,0.077,0.434,2.08595484579332e-45,"8","ASTE1"
"HIST1H4J3",1.15776456357868e-49,0.298917799368966,0.219,0.7,2.09381721323204e-45,"8","HIST1H4J"
"GMEB1",1.19017341609681e-49,0.350859472140971,0.241,0.764,2.15242862301108e-45,"8","GMEB1"
"AIFM21",1.20049915116072e-49,0.518790670798546,0.123,0.524,2.17110271487417e-45,"8","AIFM2"
"TMEM1821",1.22441360265354e-49,0.715106699899424,0.155,0.59,2.21435200039893e-45,"8","TMEM182"
"ZNF786",1.22905286612754e-49,0.293618255865248,0.066,0.41,2.22274210839165e-45,"8","ZNF786"
